"CodeNum","CodeName","FullName","Chironomini","Chironomus anthracinus","Chironomus plumosus","Cladopelma lateralis","Constempellina","Cryptochironomus","Dicrotendipes nervosus","Einfeldia","Endochironomus albipennis","Endochironomus tendens","Endochironomus impar","Glyptotendipes pallens","Glyptotendipes severini","Microtendipes pedellus","Parachironomus varus","Paratendipes nubisquama","Phaneosectra type A","Polypedilum nubeculosum","Polypedilum sordens","Sergentia coracina","Stichtochironomus B","Cladotanytarsus mancus1","Corynocera ambigua","Corynocera oliveri","Micropsectra insignilobus","Paratanytarsus","Tanytarsus sp","Tanytarsus lactesens","Tanytarsus lugens","Tanytarsus mendax","Tanytarsus pallidicornis","Allopsectrocladius","Brillia","Parametricnemus","Corynoneura","Cricotopus","Eukiefferiella fittkaui","H# marcidus","Limnophyes","Nanocladius branchio","Orthocladius","Parakiefferiella bathophila","Psectrocladius sordidellus","Psectrocladius septentri","Pseudosmittia","Smittia","Pentaneurini","Ablabesmyia","Krenopelopia","Procladius","F52"
2000,"Sam0011","Sam0011",0,0,5,0,0,5,0,0,5,0,0,5,0,5,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,15,0,0,5,0,0,0,0,0,5,5,0,0,0,0,100
1999,"Sam0012","Sam0012",0,0,0,0,0,0,6.66667,0,0,0,13.3333,6.66667,0,13.3333,0,0,0,13.3333,0,0,0,0,0,0,0,20,6.66667,0,0,6.66667,0,0,0,0,0,0,0,0,0,13.3333,0,0,0,0,0,0,0,0,0,0,99.9999
1998,"Sam0013","Sam0013",35.7143,7.14286,7.14286,0,0,0,0,0,0,0,0,0,0,0,7.14286,7.14286,0,0,0,0,0,0,0,0,0,14.2857,7.14286,0,0,0,0,0,0,0,0,0,14.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1997,"Sam0014","Sam0014",7.69231,0,0,0,0,0,0,0,0,0,0,7.69231,0,0,0,7.69231,0,0,0,7.69231,0,0,0,0,0,30.7692,0,0,0,15.3846,0,0,0,0,7.69231,7.69231,0,0,0,7.69231,0,0,0,0,0,0,0,0,0,0,100
1996,"Sam0015","Sam0015",0,0,0,0,0,0,14.2857,0,14.2857,0,0,0,0,0,0,14.2857,0,14.2857,0,0,0,0,0,0,0,0,28.5714,0,0,0,0,0,0,0,0,14.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9999
1995,"Sam0016","Sam0016",7.69231,7.69231,15.3846,0,0,0,0,0,7.69231,0,0,7.69231,0,7.69231,0,7.69231,0,15.3846,0,0,0,0,0,0,0,0,7.69231,0,0,0,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,0,100
1994,"Sam0017","Sam0017",12.5,12.5,0,12.5,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1993,"Sam0018","Sam0018",6.25,6.25,6.25,0,0,0,6.25,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,12.5,12.5,0,0,6.25,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,93.75
1992,"Sam0019","Sam0019",12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,25,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1991,"Sam0020","Sam0020",12.5,12.5,0,12.5,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1990,"Sam0021","Sam0021",0,5.88235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7647,0,5.88235,0,0,0,5.88235,5.88235,17.6471,11.7647,0,5.88235,5.88235,0,5.88235,0,0,11.7647,0,0,5.88235,0,0,0,0,0,0,0,0,0,0,0,0,100
1989,"Sam0022","Sam0022",11.1111,0,0,0,0,0,5.55556,0,0,0,0,0,0,27.7778,0,5.55556,0,16.6667,0,0,0,0,0,0,0,16.6667,0,0,0,0,0,0,0,0,0,11.1111,0,0,0,0,0,5.55556,0,0,0,0,0,0,0,0,100
1988,"Sam0023","Sam0023",16.6667,0,0,0,16.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333,0,0,0,16.6667,0,0,0,0,0,0,0,0,0,16.6667,0,0,0,0,0,0,0,0,0,0,100
1987,"Sam0024","Sam0024",0,0,0,0,0,0,11.1111,0,0,0,0,0,0,11.1111,0,0,0,0,0,0,0,11.1111,0,0,0,11.1111,0,0,11.1111,0,11.1111,0,0,0,11.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111,88.8888
1986,"Sam0025","Sam0025",0,0,0,0,0,0,14.2857,0,0,0,0,0,0,0,0,14.2857,0,14.2857,0,0,0,0,0,0,0,0,28.5714,0,0,0,0,0,0,0,0,14.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7142
1985,"Sam0026","Sam0026",0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,0,0,7.69231,15.3846,0,7.69231,0,7.69231,0,0,7.69231,0,7.69231,0,0,0,7.69231,0,0,0,15.3846,0,0,0,0,0,0,0,15.3846,0,0,0,0,0,0,0,100
1984,"Sam0027","Sam0027",0,0,0,0,0,0,9.09091,0,0,0,0,0,0,9.09091,0,0,18.1818,0,0,0,0,0,0,0,0,0,9.09091,0,9.09091,0,9.09091,0,0,0,0,0,0,0,0,0,0,0,18.1818,0,9.09091,0,9.09091,0,0,0,100
1983,"Sam0028","Sam0028",8,4,4,0,0,0,4,0,0,0,0,4,4,16,4,0,0,0,0,0,0,8,0,0,0,4,4,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,8,4,0,0,0,8,100
1982,"Sam0029","Sam0029",11.1111,11.1111,0,0,0,0,11.1111,0,0,0,0,0,0,0,0,0,0,0,0,11.1111,0,11.1111,0,0,0,11.1111,11.1111,0,0,11.1111,0,0,0,0,11.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9999
1981,"Sam0030","Sam0030",0,0,0,0,0,0,11.1111,0,0,0,0,0,0,11.1111,0,0,0,0,0,0,0,11.1111,0,0,0,11.1111,0,0,11.1111,0,11.1111,0,0,0,11.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111,88.8888
1980,"Sam0031","Sam0031",5,5,5,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,13.1,13.1,0,0,5.5,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,76.7
1979,"Sam0032","Sam0032",6.25,6.25,6.25,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,12.5,12.5,0,0,6.25,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,81.25
1978,"Sam0033","Sam0033",4,16,4,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14.2857,5,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,84.5857
1977,"Sam0034","Sam0034",3.57143,14.2857,3.57143,0,0,0,7.14286,0,0,0,0,0,0,3.57143,3.57143,3.57143,0,3.57143,0,0,0,7.14286,0,0,0,10.7143,3.57143,9.09,0,0,0,0,0,0,5.7,5.7,0,0,0,3.57143,3.57143,0,3.57143,0,0,0,0,0,0,3.57143,99.0615
1976,"Sam0035","Sam0035",13.0435,4.34783,8.69565,0,0,0,4.34783,0,0,0,0,8.69565,4.34783,8.69565,0,0,0,4.34783,0,0,0,0,0,0,0,8.69565,8.7,0,0,8.69565,0,0,0,4.34783,4.34783,4.34783,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,100
1975,"Sam0036","Sam0036",0,3.22581,3.22581,0,0,0,3.22581,0,3.22581,0,0,0,0,9.67742,0,0,0,6.45161,0,0,0,3.22581,0,0,0,9.67742,3.22581,0,0,9.67742,3.22581,0,3.22581,0,6.45161,0,0,0,3.22581,0,0,0,6.45161,0,0,0,3,3,3,13,99.4194
1974,"Sam0037","Sam0037",4.16667,0,0,0,0,4.16667,4.16667,0,0,0,0,12.5,4.16667,0,0,0,0,12.5,0,0,0,0,0,4.16667,0,4.16667,8.33333,0,0,20.8333,0,0,0,0,3.16,8.33333,0,0,0,3.16,3.57143,0,0,0,3.16,0,0,0,0,0,100
1973,"Sam0038","Sam0038",4,0,0,4,0,0,8,0,0,8,0,0,0,12,0,0,0,8,0,0,0,8,0,0,0,0,12,0,4,4,8,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,8,100
1972,"Sam0039","Sam0039",3.44828,0,0,0,0,0,13.7931,0,0,3.44828,0,0,0,13.7931,0,0,0,10.3448,0,0,0,3.44828,0,0,0,6.89655,3.44828,0,0,6.89655,3.44828,0,0,0,10.3448,6.89655,0,0,3.44828,0,0,0,3.44828,0,0,0,0,3.44828,0,0,96.5517
1971,"Sam0040","Sam0040",2.32558,2.32558,0,0,0,2.32558,11.6279,0,0,4.65116,0,0,0,0,2.32558,0,0,6.97674,0,0,0,2.32558,0,0,0,2.32558,2.32558,0,4.65116,9.30233,0,0,0,0,9.30233,6.97674,0,0,4.65116,4.65116,0,0,2.32558,0,2.32558,0,0,0,0,4.65116,88.3721
1968,"Sam0041","Sam0041",9.09091,9.09091,0,0,0,0,9.09,0,0,9.09091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09091,16.1818,5.2,16.1818,0,0,0,0,0,0,7.09,0,0,7.09,0,0,0,0,0,0,0,0,0,0,0,97.1972
1967,"Sam0042","Sam0042",9.09091,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,0,0,7.09,0,0,0,0,18.1818,6.09,0,7.09,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,78.7227
1965,"Sam0043","Sam0043",0,0,0,0,0,0,9.09091,0,18.1818,0,0,0,0,9.09091,0,0,0,0,0,0,0,18.1818,0,0,0,0,9.09,2.3,0,0,0,0,0,7.09,9.09091,0,0,0,0,7.09,0,0,0,9.09091,0,0,0,0,0,0,98.2972
1964,"Sam0044","Sam0044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1963,"Sam0045","Sam0045",2.32558,2.32558,0,0,0,2.32558,11.6279,0,0,4.65116,0,0,0,0,2.32558,0,0,6.97674,0,0,0,2.32558,0,0,0,2.32558,2.32558,0,4.65116,9.30233,0,0,0,0,9.30233,6.97674,0,0,4.65116,0,0,0,0,0,2.32558,0,0,0,0,4.65116,81.3953
1962,"Sam0046","Sam0046",5.88235,0,0,0,0,0,0,0,0,5.88235,0,0,0,11.7647,0,0,0,0,0,0,0,5.88235,0,0,0,29.4118,11.7647,0,0,0,0,0,0,0,0,11.7647,0,0,0,0,0,0,0,0,0,0,0,5.88235,0,5.88235,94.1177
1961,"Sam0047","Sam0047",25,0,0,0,0,0,16.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33333,8.33333,0,0,25,0,0,0,0,8.33333,0,0,0,0,0,0,0,0,0,0,0,8.33333,0,0,0,100
1960,"Sam0048","Sam0048",4.54545,4.54545,0,4.54545,0,0,4.54545,0,4.54545,4.54545,0,4.54545,0,4.54545,0,0,0,9.09091,0,0,0,4.54545,0,0,0,9.09091,18.1818,0,0,4.54545,0,0,0,0,0,18.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9999
1959,"Sam0049","Sam0049",9.09091,9.09091,0,0,0,0,9.09091,0,0,9.09091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09091,18.1818,0,18.1818,0,0,0,0,0,0,9.09091,0,0,9.09091,0,0,0,0,0,0,0,0,0,0,0,100
1958,"Sam0050","Sam0050",0,10,10,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1957,"Sam0051","Sam0051",0,5,0,10,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,15,10,0,5,0,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,95
1956,"Sam0052","Sam0052",18.75,3.125,3.125,0,0,0,0,0,0,0,0,6.25,3.125,0,0,0,0,6.25,0,0,0,9.375,0,0,0,6.25,12.5,3.125,0,0,0,0,0,0,3.125,12.5,0,0,3.125,0,0,0,0,3.125,0,0,0,0,0,3.125,96.875
1954,"Sam0053","Sam0053",19.2,3.4,3.4,0,0,0,0,0,0,0,0,7.2,2.9,0,0,0,0,5.9,0,0,0,7.4,0,0,0,5.9,11.4,2.9,0,0,0,0,0,0,2.9,13.2,0,0,2.9,0,0,0,0,2.9,0,0,0,0,0,2.9,94.4
1953,"Sam0054","Sam0054",0,4.34783,4.34783,0,0,0,4.34783,4.34783,0,0,0,0,0,8.69565,0,0,0,8.69565,0,0,0,8.69565,0,0,0,17.3913,13.0435,0,4.34783,8.69565,0,0,0,0,0,8.69565,0,0,4.34783,0,0,0,0,0,0,0,0,0,0,0,100
1952,"Sam0055","Sam0055",18.75,3.125,3.125,0,0,0,0,0,0,0,0,6.25,3.125,0,0,0,0,6.25,0,0,0,9.375,0,0,0,6.25,12.5,3.125,0,0,0,0,0,0,3.125,12.5,0,0,3.125,0,0,0,0,3.125,0,3.125,0,0,0,3.125,100
1951,"Sam0056","Sam0056",0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,20,10,0,0,0,0,0,0,0,10,10,0,0,0,3,0,0,0,0,0,0,0,10,0,0,100
1950,"Sam0057","Sam0057",0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,100
1949,"Sam0058","Sam0058",4,16,4,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14.2857,5,0,0,0,0,0,0,0,13,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,83.2857
1948,"Sam0059","Sam0059",9.09091,7.09,0,0,0,0,7.09,0,0,9.09091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09091,18.1818,0,18.1818,0,0,0,0,0,0,9.09091,0,0,9.09091,0,0,0,0,0,0,0,0,0,0,0,95.9981
1947,"Sam0060","Sam0060",1.96078,7.84314,0,0,0,0,0,0,3.92157,1.96078,0,0,3.92157,3.92157,0,0,0,5.88235,0,0,0,13.7255,1.96078,0,0,7.84314,7.84314,0,1.96078,3.92157,0,1.96078,0,0,3.92157,13.7255,0,0,1.96078,0,0,0,0,0,0,0,0,0,0,5.88235,94.1176
1946,"Sam0061","Sam0061",0,16.6667,5.55556,5.55556,0,4.55,11.1111,0,0,0,0,0,0,0,0,0,0,5.55556,0,0,0,0,0,0,0,0,11.1111,0,4.55,4.55,0,0,0,0,4.55,11.1111,0,0,0,0,0,0,0,0,4.55,0,0,0,0,4.55,93.9667
1945,"Sam0062","Sam0062",0,32,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,8,8,0,0,8,0,4,0,0,4,8,0,0,0,0,0,0,0,0,4,0,0,0,0,4,100
1944,"Sam0063","Sam0063",0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,20,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,100
1943,"Sam0064","Sam0064",18.75,3.125,3.125,0,0,0,0,0,0,0,0,6.25,3.125,0,0,0,0,6.25,0,0,0,9.375,0,0,0,6.25,12.5,0,0,0,0,0,0,0,3.125,12.5,0,0,3.125,0,0,0,0,3.125,0,3.125,0,0,0,3.125,96.875
1942,"Sam0065","Sam0065",0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,12.5,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,100
1940,"Sam0066","Sam0066",0,0,0,0,0,0,11.1111,0,0,0,0,0,0,11.1111,0,0,0,0,0,0,0,11.1111,0,0,0,11.1111,0,0,11.1111,0,11.1111,0,0,0,11.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111,88.8888
1939,"Sam0067","Sam0067",0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,20,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,100
1937,"Sam0068","Sam0068",4.16667,0,0,0,0,0,8.33333,0,4.16667,0,0,0,0,0,0,0,0,12.5,0,0,0,8.33333,0,0,0,16.6667,12.5,0,0,4.16667,0,0,0,0,8.33333,13.57,0,0,0,3,0,0,0,0,0,0,0,0,0,4.16667,99.9034
1934,"Sam0069","Sam0069",0,0,0,14.2857,0,0,14.2857,0,14.2857,0,14.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2857,14.2857,0,0,0,0,0,0,0,0,0,0,14.2857,0,0,0,0,0,0,0,0,0,0,0,99.9999
1932,"Sam0070","Sam0070",0,32,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,8,8,0,0,8,0,4,0,0,4,8,0,0,0,0,0,0,0,0,4,0,0,0,0,4,100
1931,"Sam0071","Sam0071",0,7.31707,0,0,0,0,7.31707,0,7.31707,0,0,0,0,12.1951,0,0,0,7.31707,2.43902,0,0,4.87805,0,0,0,4.87805,12.1951,4.87805,0,0,0,0,0,0,2.43902,4.7,0,0,0,16.67,0,2.43902,0,0,0,0,0,0,0,0,96.9797
1929,"Sam0072","Sam0072",1.96078,7.84314,0,0,0,0,0,0,3.92157,1.96078,0,0,3.92157,5.88235,0,0,0,5.88235,0,0,0,13.7255,1.96078,0,0,7.84314,7.84314,0,1.96078,5.88235,0,1.96078,0,0,3.92157,13.7255,0,0,1.96078,0,0,0,1.96078,0,0,0,0,0,0,5.88235,100
1925,"Sam0073","Sam0073",1.5,9.2,0,0,0,0,0,0,4,1.96078,0,0,4,5.88235,0,0,0,5.88235,0,0,0,12.7255,1.96078,0,0,7.84314,7.84314,0,1.96078,5.88235,0,1.96078,0,0,3.92157,13.7255,0,0,1.96078,0,0,0,1.96078,0,0,0,0,0,0,5.88235,100
1924,"Sam0074","Sam0074",0,2.77778,0,2.77778,0,5.55556,5.55556,0,0,0,0,0,0,8.33333,0,0,0,8.33333,0,0,2.77778,5.55556,0,0,0,11.1111,13.8889,0,0,0,0,0,0,0,0,11.1111,0,0,2.77778,0,2.77778,5.55556,0,0,11.1111,0,0,0,0,0,100
1922,"Sam0075","Sam0075",6.25,9.375,3.125,0,0,3.125,3.125,0,6.25,0,0,0,0,12.5,3.125,0,0,0,0,0,0,12.5,0,0,0,3.125,6.25,0,0,0,3.125,0,0,2.27,0,14.625,0,0,0,0,0,3.125,0,0,0,0,0,0,0,9,100
1920,"Sam0076","Sam0076",0,9.52381,0,0,0,0,9.52381,0,9.52381,0,0,4.7619,4.7619,0,0,0,0,14.2857,0,0,0,4.7619,0,0,0,9.52381,4.7619,0,4.7619,0,0,0,0,0,0,9.52381,0,0,0,0,0,0,4.7619,4.76,4.7619,0,0,0,0,0,99.998
1918,"Sam0077","Sam0077",0,6.25,0,15.625,0,3.125,3.125,0,12.5,0,0,0,0,9.375,3.125,0,0,0,0,0,0,6.25,0,0,0,6.25,12.5,0,3.125,3.125,0,0,0,0,0,6.25,0,0,0,0,0,0,3.125,0,0,0,0,0,0,6.25,100
1916,"Sam0078","Sam0078",0,7.69231,0,0,0,0,11.5385,0,3.84615,0,0,3.84615,0,0,0,0,3.84615,7.69231,0,0,0,11.5385,0,0,0,7.69231,7.69231,0,0,3.84615,0,0,0,0,3.84615,15.3846,0,0,0,0,7.69231,0,3.84615,0,0,0,0,0,0,0,100
1913,"Sam0079","Sam0079",0,6.81818,0,0,0,0,2.27273,0,2.27273,0,0,0,0,2.27273,0,0,0,11.3636,0,0,0,9.09091,0,2.2,0,25,6.81818,0,0,2.27273,2.27273,0,0,2.27273,6.81818,13.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,99.9218
1910,"Sam0080","Sam0080",0,2.89855,1.44928,1.44928,1.44928,0,5.7971,0,2.89855,1.44928,0,4.34783,0,4.34783,0,0,0,2.89855,0,0,0,10.1449,0,0,0,14.4928,10.1449,0,0,7.24638,0,0,0,0,2.89855,10.1449,0,0,0,0,5.7971,0,0,0,1.44928,4.34783,0,0,0,1.44928,97.1015
1905,"Sam0081","Sam0081",0,6.31707,0,0,0,0,6.31707,0,6.31707,0,0,0,0,10.1951,0,0,0,6.31707,2.4,0,0,4.8,0,0,0,4.87805,8.19,6.14,2.4,4.8,4.8,0,0,0,2.43902,17.07,0,0,0,0,0,2.43902,0,0,0,0,0,0,0,0,99.8195
1902,"Sam0082","Sam0082",0,0,0,0,0,0,11.1111,0,0,0,0,0,0,11.1111,0,0,0,0,0,0,0,11.1111,0,0,0,11.1111,0,0,11.1111,0,1.11,0,0,0,11.1111,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11.1111,81.8877
1899,"Sam0083","Sam0083",0,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,14,0,0,9,2.85714,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,88.8571
1896,"Sam0084","Sam0084",2.85714,0,2.85714,8.57143,0,0,2.85714,0,8.57143,0,0,0,0,0,0,0,0,8.57143,0,0,0,20,0,0,0,2.85714,5.71429,0,2.85714,2.85714,0,2.85714,0,0,0,22.8571,0,0,0,0,2.85714,0,0,0,0,0,0,0,0,2.85714,99.9999
